family;genus;epithet;commonname;life_forms;endemism;RED_List_2022;MMA_2022;extinction_risk_category_2013;fruit_fleshy_dry;fruit_dehisces;winged_nonwinged;fruit_form;fruit_type;dispersal_syndrome;seed_form;seed_handling;storage_behaviour;D.O.I.
Fabaceae;Mimosa;ophthalmocentra;jurema-vermelha;Shrub,tree;ED;LC;NA;NE;dry;indehiscent;non-winged;compressed-flat;craspedium;Autochory;subsquares;PY - mechanically scarified;ORT;https://doi.org/10.1590/S2175-78602014000200012,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Pithecellobium;diversifolium;carcarazeiro;Shrub,tree;ED;LC;NA;NE;dry;dehiscent;non-winged;sigmoidal(linear spiraled,short stipitate);legume;Autochory;oblong,ovoid (aril red);PY - mechanically scarified;ORT_NEMA;https://doi.org/10.1590/S2236-89062013000400003,https://doi.org/10.1590/1676-0611-BN-2018-0586,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Plathymenia;reticulata;vinh tico;Shrub,tree;NE;LC;NA;LC;dry;dehiscent;non-winged;compressed-flat;cryptoloment;Anemochory;obovate,obovate-oblong (winged);PY - mechanically scarified;NA;https://doi.org/10.1093/aob/mcy006,https://doi.org/10.1017/S0960428603000106,https://doi.org/10.1093/aob/mci193,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Pterogyne;nitens;amendoim-bravo,amendoim-do-campo,amendoim;Tree;NE;NT;NA;LC;dry;indehiscent;winged;ovoid;samara;Anemochory;oblanceolate;PY - mechanically scarified;ORT_NEMA;https://doi.org/10.1590/2175-7860201970017,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://doi.org/10.1079/cabicompendium.4536
Fabaceae;Senegalia;tenuifolia;espinheiro,unha-de-gato;Shrub,Liana/Scandent/Vine;NE;NE;NA;NE;dry;dehiscent;non-winged;straight;legume;Autochory;elliptic;PY - mechanically scarified;ORT;https://doi.org/10.1111/jvs.12227,https://www.jstor.org/stable/245461505,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://doi.org/10.1093/forsci/fxab027
Fabaceae;Senegalia;bahiensis;calumbi-branco;Shrub,tree;ED;LC;NA;NE;dry;dehiscent;non-winged;falcate;legume;Autochory;ellipsoid;PY - mechanically scarified;ORT;https://doi.org/10.1017/S0266467401001201,https://www.jstor.org/stable/24546155,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Senegalia;polyphylla;espinheiro,unha-de-gato;Shrub,tree;NE;LC;NA;NE;dry;dehiscent;non-winged;straight(slightly falcate);legume;Autochory;orbicular;PY - mechanically scarified;ORT;https://doi.org/10.1590/S0102-33062007000300005,https://www.jstor.org/stable/24546155,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Senna;uniflora;mata-pasto-cabeludo;Herb;NE;NE;NA;NE;dry;dehiscent;non-winged;compressed,oblong;legume;Autochory;rhombic;PY - mechanically scarified;ORT;https://doi.org/10.1590/1806-908820220000010,https://doi.org/10.1590/2175-7860202172104,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Senna;martiana;mata-pasto,canaf¡stula-de-lajedo;Shrub;ED;NE;NA;NE;dry;dehiscent;non-winged;linear,oblong;legume;Autochory;obovate;PY - mechanically scarified;ORT;https://doi.org/10.5935/1984-2295.20160078,https://doi.org/10.1590/2175-7860202071025,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Senna;pendula;canafistula;Shrub,tree,Liana/Scandent/Vine;NE;LC;NA;NE;dry;dehiscent;non-winged;cylindrical;legume;Autochory;ovoid;PY - mechanically scarified;ORT;https://doi.org/10.1590/S2236-89062009000200002,https://doi.org/10.1590/2175-7860202172104,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://doi.org/10.1590/2179-8087.000217
Fabaceae;Sesbania;virgata;angiquinho-grande,sesbania-de-flores-amarelas;Shrub;NE;LC;NA;NE;dry;indehiscent;non-winged;linear,oblong;follicle;Autochory;reniform;PY - mechanically scarified;ORT_NEMA;https://doi.org/10.1590/S0102-33062009000100018,https://doi.org/10.5039/agraria.v6i2a926,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Trischidium;molle;canafistula, brinquinho;Shrub,tree;ED;LC;NA;NE;dry;dehiscent;non-winged;ellipsoid;legume;Zoochory;ellipsoid;PY - mechanically scarified;NA;https://www.jstor.org/stable/20443359,https://www.jstor.org/stable/23500773,https://doi.org/10.1590/S0100-84042004000400013,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Vachellia;farnesiana;calumbi,coronha,esponjeira;Shrub;NE;LC;NA;NE;fleshy;indehiscent;non-winged;cylindrical;legume;Zoochory;flattened,ovoid;PY - mechanically scarified;ORT;https://www.jstor.org/stable/23500773,https://www.jstor.org/stable/2419000,https://doi.org/10.1007/BF00328167,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Lamiaceae;Mesosphaerum;suaveolens;canudinho,bamburr ,alfazema,bamburral;Shrub,herb,subshrubs;NE;NE;NA;NE;dry;indehiscent;non-winged;elongated shape with dorso-ventral flattening;nutlet;Autochory;oblong;ND;ORT;https://doi.org/10.1016/j.jenvman.2023.117665,https://doi.org/10.11646/phytotaxa.58.1.1,https://doi.org/10.37856/bja.v93i1.3265,https://doi.org/10.1590/2175-7860201970067,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Lamiaceae;Rhaphiodon;echinus;falsa-menta,menta-rasteira;Herb;ED;NE;NA;NE;dry;indehiscent;non-winged;globose;nutlet;Autochory;ovoid;PY - mechanically scarified;ORT;https://doi.org/10.1590/1806-908820220000010,https://doi.org/10.11646/phytotaxa.58.1.1,https://www.jstor.org/stable/42871644,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Malvaceae;Ceiba;glaziovii;barriguda;Tree;ED;LC;NA;LC;dry;dehiscent;non-winged;pyriform;capsule loculicidal;Anemochory;rounded to pyriform to reniform (embedded in kapok);ND;NA;https://doi.org/10.1590/S0102-33062002000200001,https://doi.org/10.3989/ajbm.2002.v60.i2.92,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Malvaceae;Ceiba;pentandra;paineira;Tree;NE;LC;NA;NE;dry;dehiscent;non-winged;oblong-ellipsoid;capsule;Anemochory;compressed-globose (smooth and embedded in kapok);ND;ORT;https://doi.org/10.1007/978-90-481-8661-7_72,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Malvaceae;Guazuma;ulmifolia;mutamba;Tree;NE;LC;NA;NE;dry;dehiscent;non-winged;globose;capsule loculicidal;Zoochory;rounded;PD - heating;ORT;https://doi.org/10.1590/S0101-31222008000100015,https://doi.org/10.1590/2175-7860200960208,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://doi.org/10.1590/S0100-67622012000500001,https://ser-sid.org/
Malvaceae;Pachira;retusa;castanheira;Shrub,tree;ED;LC;NA;LC;dry;dehiscent;non-winged;globose,subglobose;capsule;Autochory;angular (embedded in kapok);PY - mechanically scarified;NA;https://doi.org/10.1590/S0102-33062002000200001,https://doi.org/10.1016/j.ympev.2016.05.006,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Malvaceae;Pseudobombax;simplicifolium;Imbiru‡£;Tree;ED;LC;NA;LC;dry;dehiscent;non-winged;cylindrical;capsule;Anemochory;rounded (embedded in kapok);ND;ORT_NEMA;https://doi.org/10.1590/S0100-84042011000200007,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Malvaceae;Sida;cordifolia;malva-branca;Herb,subshrubs;NE;NE;NA;NE;dry;indehiscent;non-winged;laterally reticulate(muticous to prominently aristate, the spines often retrorsely barbed);schizocarp;Autochory;reniform;PY - mechanically scarified;ORT;https://doi.org/10.1590/1806-908820220000010,https://www.jstor.org/stable/23909127,https://doi.org/10.11606/issn.2316-9052.v39p31-52,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Malvaceae;Sida;galheirensis;canela-de-siriema,canela-de-ema;Subshrubs;ED;NE;NA;LC;dry;indehiscent;non-winged;laterally reticulate(muticous to prominently aristate, the spines often retrorsely barbed);schizocarp;Autochory;reniform;PY - mechanically scarified;ORT_NEMA;https://doi.org/10.1590/1806-908820220000010,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Passifloraceae;Passiflora;cincinnata;maracuj -do-mato;Liana/Scandent/Vine;NE;NE;NA;NE;fleshy;indehiscent;non-winged;ovoid,rounded;berry;Zoochory;obovate;PY+PD - mechanically scarified+gibberellic acid (GA3);INT?;https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Poaceae;Chloris;barbata;p‚ de galinha;Herb;NE;NE;NA;NE;dry;indehiscent;non-winged;ellipsoid,obovoid;caryopsis;Zoochory;elliptical acuminate;ND;ORT;https://doi.org/10.1590/S0034-71082000000100016,https://scholarsarchive.byu.edu/byuscib/vol19/iss2/1,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Polygonaceae;Ruprechtia;laxiflora;pau-caixÆo;Tree;NE;LC;NA;NE;dry;indehiscent;winged;obconic;nutlet;Anemochory;ovoid;ND;NA;https://doi.org/10.46357/bcnaturais.v10i3.477,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Polygonaceae;Triplaris;gardneriana;paje£,pau-novateiro;Tree;NE;NE;NA;NE;dry;indehiscent;winged;oblong-campanulate tubes,oval;achene;Anemochory;triangular (ovoid);ND;ORT;https://doi.org/10.1111/j.1756-1051.1986.tb00454.x,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://doi.org/10.1590/S1677-04202002000200008
Rubiaceae;Genipa;americana;jenipapo;Shrub,tree;NE;LC;NA;LC;fleshy;indehiscent;non-winged;globose;berry;Zoochory;flattened;PY - mechanically scarified;ORT;https://www.jstor.org/stable/23494967,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Rubiaceae;Simira;gardneriana;pereiro-vermelho;Tree;ED;NE;NA;NT;dry;dehiscent;non-winged;globose;capsule;Anemochory;flattened (winged);ND;NA;https://doi.org/10.2307/3393006,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Rubiaceae;Tocoyena;formosa;genipapo-bravo,marmela;Shrub,subshrubs;NE;NE;NA;NE;fleshy;indehiscent;non-winged;globose;berry;Zoochory;flattened-convex;PY - mechanically scarified;ORT;https://doi.org/10.1007/BF00937441,https://www.jstor.org/stable/23494967,https://doi.org/10.1590/2236-8906-46/2019,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://doi.org/10.1590/S1677-04202002000200008
Sapindaceae;Magonia;pubescens;tingui;Tree;NE;LC;NA;LC;dry;dehiscent;non-winged;trigonous to almost spherical;capsule;Anemochory;flattened (winged wide-elliptical subtrapezoidal);ND;ORT;https://www.jstor.org/stable/2806740,https://doi.org/10.11606/issn.2316-9052.v31i1p99-130,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Velloziaceae;Vellozia;plicata;canela-de-ema;Dracenoid,subshrubs;ED;NE;NA;NE;dry;dehiscent;non-winged;triangular;capsule loculicidal;Anemochory;pyramidal;ND;NA;https://doi.org/10.5935/1984-2295.20160078,https://doi.org/10.1093/botlinnean/boz040,https://www.jstor.org/stable/3393230,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Ximeniaceae;Ximenia;americana;ameixa-do-mato;Shrub,tree;NE;LC;NA;NE;fleshy;indehiscent;non-winged;ellipsoid,globose;drupe;Zoochory;elliptic,globose;PY - mechanically scarified;ORT;https://doi.org/10.1007/978-94-024-1552-0_43,https://doi.org/10.1007/978-3-030-38386-2_171,https://doi.org/10.1016/j.sajb.2011.07.003,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;; ;;;;;;
